Resource ID,Latitude,Longitude,Street,City,State,Zip Code,Historic Name,Current Name,Extant,Neighborhood,Planning District,Inventory,Construction Start Year,Construction End Year,Construction Date Precision,Original Architect,Philadelphia Register Individual Designation Year,National Register Individual Designation Year,National Historic Landmark Individual Designation Year,Philadelphia Register Historic District,Photo URL,Resource URL
115,39.957745,-75.155754,1029-33 Pearl St,Philadelphia,PA,19107,First African Baptist Church Site #1,,No,Callowhill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/115
116,39.95479884,-75.15704505,1025-27 Cherry St,Philadelphia,PA,19107,Cherry Street Baptist Church / Cherry Mem,First African Baptist Church Site #2,No,Chinatown,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/116
117,39.97394649,-75.20967374,4159 W Girard Ave,Philadelphia,PA,19104,Emmanuel Presbyterian Church,First African Presbyterian Church,Yes,East Parkside,West Park,"African American Historic Site, Historic Religious Sites",,1912,,Charles W. Bolton & Son,,,,,,http://www.preservephiladelphia.org/historic-resources/117
118,39.94223674,-75.17063888,1642 Fitzwater St,Philadelphia,PA,19146,Tabor Chapel,First African Presbyterian Church,Yes,Graduate Hospital,Central,"Historic Religious Sites, African American Historic Site",,1857,,Samuel Sloan,,,,,http://pagp.webfactional.com/static/media/photos/1642FitzwaterSt.jpg,http://www.preservephiladelphia.org/historic-resources/118
119,39.941485,-75.172705,1800-06 Catharine St,Philadelphia,PA,19146,Tabor Presbyterian Church site,First African Presbyterian Church,No,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/119
120,39.941237,-75.154104,705-11 S 07th St,Philadelphia,PA,19147,First African Presbyterian Church Site #1,,,Bella Vista,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/120
121,39.9440037,-75.17702811,2052 Bainbridge St,Philadelphia,PA,19146,First Penny Savings and Loan,,Yes,Graduate Hospital,Central,African American Historic Site,,1914,circa,W. Haddock,,,,,,http://www.preservephiladelphia.org/historic-resources/121
122,40.03059546,-75.164957,5109 Germantown Ave,Philadelphia,PA,19144,Kunder House,First Protest Against Slavery,No,Wister,Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/122
123,40.04067595,-75.18453294,6325 Burbridge St,Philadelphia,PA,19144,Youth Service Inc. / Crittenton Family Support Center,Florence Crittenton Home,Yes,"Germantown, West Central",Upper Northwest,African American Historic Site,,,,,,,,,http://pagp.webfactional.com/static/media/photos/6325BurbridgeSt.jpg,http://www.preservephiladelphia.org/historic-resources/123
124,39.943456,-75.152033,06th St and Addison St,Philadelphia,PA,19147,Forten School,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/124
125,39.94185933,-75.1594262,1006 Bainbridge St,Philadelphia,PA,19147,Frances Ellen Watkins Harper House,,Yes,Hawthorne,Central,African American Historic Site,,1860,,,,,1976,,http://pagp.webfactional.com/static/media/photos/1006BainbridgeSt.jpg,http://www.preservephiladelphia.org/historic-resources/125
126,39.94364667,-75.15179137,536 Pine St,Philadelphia,PA,19106,"Francis ""Frank"" Johnson House",,No,Society Hill,Central,African American Historic Site,,,,,,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/126
127,39.95008,-75.191941,33rd St and Spruce St,Philadelphia,PA,19104,Franklin Field,,Yes,University City,University/Southwest,African American Historic Site,,1922,,Day & Klauder,,,,,,http://www.preservephiladelphia.org/historic-resources/127
128,39.94421841,-75.14531018,310 S 02nd St,Philadelphia,PA,19106,Fraunces Tavern,,,Society Hill,Central,African American Historic Site,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/128
129,39.9447672,-75.16753728,1512 Lombard St,Philadelphia,PA,19146,Frederick Douglass Memorial Hospital,,No,Rittenhouse,Central,African American Historic Site,,,,,,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/129
130,39.943025,-75.152116,6th St and Lombard St,Philadelphia,PA,19147,Free African Society,,,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/130
131,39.95993009,-75.1709484,1901 Vine St,Philadelphia,PA,19103,"Free Library of Philadelphia, Central Branch",,Yes,Logan Square,Central,African American Historic Site,,1927,circa,"Horace Trumbauer, Julian Abele",1971,,,,,http://www.preservephiladelphia.org/historic-resources/131
132,39.96291,-75.201923,Lancaster Ave and Haverford Ave,Philadelphia,PA,19104,Freedom Now Rally (Dr. Martin Luther King Jr.),,Yes,Mantua,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/132
133,39.97434389,-75.15938989,1346 N Broad St,Philadelphia,PA,19121,Freedom Theatre,,Yes,North Central,Lower North,African American Historic Site,,1853,,,1976,,1971,,,http://www.preservephiladelphia.org/historic-resources/133
134,39.93477742,-75.17380464,1730 Wharton St,Philadelphia,PA,19146,18th Street Methodist Episcopal Church,Friendship Baptist Church,Yes,Point Breeze,South,"Historic Religious Sites, African American Historic Site",1885,1888,,J. Franklin Stuckert,1988,,,,,http://www.preservephiladelphia.org/historic-resources/134
135,40.02874548,-75.21341738,457 Roxborough Ave,Philadelphia,PA,19128,Galilee Baptist Church Building,,Yes,Roxborough,Lower Northwest,African American Historic Site,,1900,,Kennedy & Kelsey,,,,,,http://www.preservephiladelphia.org/historic-resources/135
136,39.944459,-75.163589,1309 Lombard St,Philadelphia,PA,19147,George Burrell House,,,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/136
137,40.03799107,-75.1769717,5914 Germantown Ave,Philadelphia,PA,19144,George W. Deane Real Estate Office,,Yes,"Germantown, West Central",Upper Northwest,African American Historic Site,,,,,,,,,http://pagp.webfactional.com/static/media/photos/5914GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/137
138,39.94345441,-75.16083216,1118 Rodman St,Philadelphia,PA,19147,George White House,,Yes,Washington Square West,Central,African American Historic Site,,,,,1967,,,,,http://www.preservephiladelphia.org/historic-resources/138
139,40.026588,-75.174043,Pulaski Ave and W Queen La,Philadelphia,PA,19144,Germantown Free Kindergarten,,No,"Germantown, Westside",Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/139
140,40.03449316,-75.17176653,5501-05 Germantown Ave,Philadelphia,PA,19144,Fromberger House,Germantown Historical Society,Yes,Wister,Upper Northwest,African American Historic Site,1795,1796,circa,,1956,,,,http://pagp.webfactional.com/static/media/photos/5501-05GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/140
141,40.035641,-75.173086,30 Armat St,Philadelphia,PA,19144,Germantown Industrial School for Colored Women,,,Wister,Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/141
142,40.04139855,-75.17906785,6119-31 Germantown Ave,Philadelphia,PA,19144,Germantown Mennonite Meetinghouse,,Yes,"Germantown, Morton",Upper Northwest,"Historic Religious Sites, African American Historic Site",,1770,,,1956,1973,,,http://pagp.webfactional.com/static/media/photos/6133GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/142
143,40.03346746,-75.1676354,48 E Penn St,Philadelphia,PA,19144,Germantown Settlement,,Yes,Wister,Upper Northwest,African American Historic Site,,1855,circa,,,,,,http://pagp.webfactional.com/static/media/photos/48EPennSt.jpg,http://www.preservephiladelphia.org/historic-resources/143
144,40.03400672,-75.17781692,5722 Greene St,Philadelphia,PA,19144,Germantown YMCA,,Yes,"Germantown, West Central",Upper Northwest,African American Historic Site,,1928,,"Thomas, Martin & Kirkpatrick",,1991,,,http://pagp.webfactional.com/static/media/photos/5722GreeneSt.jpg,http://www.preservephiladelphia.org/historic-resources/144
145,40.04099045,-75.18012039,6128 Germantown Ave,Philadelphia,PA,19144,Germantown YWCA Branch for Colored Girls and Women,,Yes,"Germantown, West Central",Upper Northwest,African American Historic Site,,1854,circa,,,,,,,http://www.preservephiladelphia.org/historic-resources/145
146,39.944804,-75.166277,1423 Lombard St,Philadelphia,PA,19146,Gertrude E. H. Bustill Mossell House,,,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/146
147,39.943219,-75.153726,700 Lombard St,Philadelphia,PA,19107,Gil Ball Saloon,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/147
148,39.949344,-75.164196,,Philadelphia,PA,19107,Gilbert Lyceum,,,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/148
149,39.97375359,-75.17284964,2101 S College Ave,Philadelphia,PA,19121,Girard College,,Yes,Sharswood,Lower North,African American Historic Site,,1833,,Thomas Ustick Walter,,,,,,http://www.preservephiladelphia.org/historic-resources/149
150,39.9345169,-75.14390387,916 S Swanson St,Philadelphia,PA,19147,Old Swedes' Episcopal Church,Gloria Dei Church,Yes,Riverfront,Central,"Historic Religious Sites, African American Historic Site",1677,1698,,Andrew Rudman,1956,1942,,,,http://www.preservephiladelphia.org/historic-resources/150
151,39.979323,-75.150789,1004 W Montgomery Ave,Philadelphia,PA,19122,Grace A.M.E. Zion Church Site,,No,Yorktown,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/151
152,40.04981292,-75.18306066,34-36 E Sharpnack St,Philadelphia,PA,19119,Grace Baptist Church,Sanctuary Church of God in Christ,Yes,"Mount Airy, East",Upper Northwest,"Historic Religious Sites, African American Historic Site",,1908,,Jacob Naschold,,,,,http://pagp.webfactional.com/static/media/photos/34-36ESharpnackSt.jpg,http://www.preservephiladelphia.org/historic-resources/152
153,40.04561449,-75.18318762,25 W Johnson St,Philadelphia,PA,19144,Grace Baptist Church,,Yes,"Mount Airy, West",Upper Northwest,"Mid-Century Modern Architectural Resources, African American Historic Site",,1960,decade,"Mansell, McGettigan & Fugate",,,,,http://pagp.webfactional.com/static/media/photos/25WJohnsonSt.jpg,http://www.preservephiladelphia.org/historic-resources/153
154,39.937343,-75.175089,1146 S 19th St,Philadelphia,PA,19146,First Reformed Presbyterian Church,Grace Church,Yes,Point Breeze,South,African American Historic Site,,1875,circa,,,,,,,http://www.preservephiladelphia.org/historic-resources/154
155,39.94480552,-75.16812844,1518-20 Lombard St,Philadelphia,PA,19146,Grace Church Site,,No,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/155
156,39.94676672,-75.16112685,1201 Spruce St,Philadelphia,PA,19107,Grand United Order of Odd Fellows,,Yes,Washington Square West,Central,African American Historic Site,,1906,,Watson & Huckel,2008,,,,,http://www.preservephiladelphia.org/historic-resources/156
157,40.01399125,-75.15587505,1798 W Hunting Park Ave,Philadelphia,PA,19140,Gratz High (Roy Campanella),,Yes,Tioga,North,African American Historic Site,,1927,circa,,,1987,,,,http://www.preservephiladelphia.org/historic-resources/157
158,39.96746328,-75.16073452,708-14 N Broad St,Philadelphia,PA,19130,Our Lady of Blessed Sacrament / Central Presbyterian Church,Greater Exodus Baptist Church,Yes,Francisville,Central,"African American Historic Site, Historic Religious Sites",,1877,circa,Collins & Autenreith,1972,,,,,http://www.preservephiladelphia.org/historic-resources/158
159,40.056418,-75.022133,Longford St and Holme Ave,Philadelphia,PA,19136,Greenbelt Knoll,,Yes,Pennypack Woods,Lower Far Northeast,African American Historic Site,,1956,,Montgomery & Bishop,,,,,,http://www.preservephiladelphia.org/historic-resources/159
160,39.9416778,-75.15094379,500 South St,Philadelphia,PA,19147,Grendel's Lair,,Yes,Queen Village,Central,African American Historic Site,,,,,,,,,http://pagp.webfactional.com/static/media/photos/500SouthSt.jpg,http://www.preservephiladelphia.org/historic-resources/160
161,39.956459,-75.164473,15th St above Race St,Philadelphia,PA,19102,Hahnemann Medical College Out-patient's Building,,,Logan Square,Central,African American Historic Site,,1947,circa,"Horace Trumbauer, Julian Abele",,,,,,http://www.preservephiladelphia.org/historic-resources/161
162,39.93807604,-75.17471526,1839-43 Ellsworth St,Philadelphia,PA,19146,Harrison Day Nursery,,Yes,Point Breeze,South,African American Historic Site,,1898,,"Furness, Evans & Co.",,,,,,http://www.preservephiladelphia.org/historic-resources/162
163,39.97943243,-75.17297441,2301-11 W Oxford St,Philadelphia,PA,19121,Haven Memorial Church,,Yes,North Central,Lower North,African American Historic Site,,1960,circa decade,,,,,,,http://www.preservephiladelphia.org/historic-resources/163
164,39.97876027,-75.17754972,1511 N 26th St,Philadelphia,PA,19121,Haven Mission Church Site #1,,No,Brewerytown,Lower North,African American Historic Site,,1887,pre,,,,,,,http://www.preservephiladelphia.org/historic-resources/164
165,39.988486,-75.148662,10th St and York Ave,Philadelphia,PA,19133,Heard Church,,,Hartranft,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/165
166,39.944437,-75.151798,612 Delancey St,Philadelphia,PA,19106,Henry Black House,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/166
167,39.98769557,-75.18118118,2908 Diamond St,Philadelphia,PA,19121,Henry Ossawa Tanner House,,Yes,Strawberry Mansion,Lower North,African American Historic Site,,1871,circa,,1970,,1976,,,http://www.preservephiladelphia.org/historic-resources/167
168,39.95525533,-75.14586687,235 N 04th St,Philadelphia,PA,19106,Saint George's Church,Historic Saint George's Methodist Church,Yes,Old City,Central,"African American Historic Site, Historic Religious Sites",,1767,,,1959,1971,,Old City,,http://www.preservephiladelphia.org/historic-resources/168
169,39.877555,-75.213539,"Along Delaware River, just below Ft Mifflin",Philadelphia,PA,19153,Hog Island,,No,Airport,Lower Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/169
170,40.03291735,-75.16934514,5305 Germantown Ave,Philadelphia,PA,19144,Holsey C.M.E. Church,,Yes,Wister,Upper Northwest,African American Historic Site,,1969,circa,,,,,,http://pagp.webfactional.com/static/media/photos/5305GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/170
171,40.017817,-75.149574,Near Hunting Park Ave and Broad St,Philadelphia,PA,19140,Holsey C.M.E. Church Site,,,Nicetown,North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/171
172,39.97345523,-75.16277742,1608-10 W Thompson St,Philadelphia,PA,19121,Holy Tabernacle Church,,Yes,North Central,Lower North,African American Historic Site,,1918,circa,,,,,,http://pagp.webfactional.com/static/media/photos/DSC_9970.jpg,http://www.preservephiladelphia.org/historic-resources/172
173,39.96791896,-75.23984942,6000 Callowhill St,Philadelphia,PA,19151,Holy Temple Church of God in Christ,,Yes,Haddington,West,"African American Historic Site, Historic Religious Sites",,1935,,,,,,,,http://www.preservephiladelphia.org/historic-resources/173
174,39.94348582,-75.17279321,1818-24 Bainbridge St,Philadelphia,PA,19146,Holy Trinity Baptist Church,,Yes,Graduate Hospital,Central,"Historic Religious Sites, African American Historic Site",,1900,,"Edwin Gilbert, Gilbert & Reid",,,,,,http://www.preservephiladelphia.org/historic-resources/174
175,39.985882,-75.231888,Berks St and 54th St,Philadelphia,PA,19131,Home for Destitute Colored Children,,,Wynnefield,West Park,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/175
176,39.94312013,-75.15404024,708 Lombard St,Philadelphia,PA,19147,Home for the Homeless,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/176
178,40.03435,-75.172605,Germantown Ave and School House La,Philadelphia,PA,19144,Horn & Hardart,,,Wister,Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/178
179,39.962581,-75.208712,603-15 N 43rd St,Philadelphia,PA,19104,House of St. Michaels and All Angels,,No,Haverford North,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/179
180,39.973402,-75.234115,1401 N Frazier St,Philadelphia,PA,19131,"House of Umoja, Inc.",,,Carroll Park,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/180
181,39.94201345,-75.15791002,915 Bainbridge St,Philadelphia,PA,19147,Institute for Colored Youth,,Yes,Bella Vista,Central,African American Historic Site,1865,1866,circa,,,1985,,,http://pagp.webfactional.com/static/media/photos/915BainbridgeSt.jpg,http://www.preservephiladelphia.org/historic-resources/181
182,39.95080618,-75.19295096,3401 Spruce St,Philadelphia,PA,19104,Irvine Auditorium (University of Pennsylvania),,Yes,University City,University/Southwest,African American Historic Site,,1928,circa,"Horace Trumbauer, Julian Abele",1973,,,,,http://www.preservephiladelphia.org/historic-resources/182
184,39.94522,-75.178503,22nd St and South St,Philadelphia,PA,19146,J. M. Palmer Memorial A.M.E.,,,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/184
185,39.94068206,-75.16973754,1605 Christian St,Philadelphia,PA,19146,Jack and Jill of America,,Yes,Graduate Hospital,Central,"African American Historic Site, Pride of Place Neighborhood Landmarks",,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/185
186,39.948513,-75.157213,Walnut St above 10th St,Philadelphia,PA,19107,Jackson's Manufactory,,,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/186
187,39.94358692,-75.15927403,1032 Lombard St,Philadelphia,PA,19147,"Jacob C. White, Jr. House",,No,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/187
188,39.95788898,-75.1559902,1012 Wood St,Philadelphia,PA,19107,James Bland House,,No,Callowhill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/188
189,39.94240223,-75.14863657,336 Lombard St,Philadelphia,PA,19147,Charlotte Forten House,"James Forten, Sr. House",,Society Hill,Central,African American Historic Site,,,,,,,,Society Hill,http://pagp.webfactional.com/static/media/photos/336LombardSt.jpg,http://www.preservephiladelphia.org/historic-resources/189
190,40.05441485,-74.99564485,4615 Aubrey Ave,Philadelphia,PA,19114,James Grady House,,,Torresdale,North Delaware,African American Historic Site,,1948,circa,James Plater,,,,,,http://www.preservephiladelphia.org/historic-resources/190
191,39.93751844,-75.19756775,1309-19 S 33rd St,Philadelphia,PA,19146,James W. Queen Memorial Chapel,,Yes,Grays Ferry,South,"Historic Religious Sites, African American Historic Site",,1925,,,,,,,,http://www.preservephiladelphia.org/historic-resources/191
192,40.03952968,-75.17611591,47-51 E Haines St,Philadelphia,PA,19144,Janes Methodist Episcopal Church,Janes Memorial United Methodist Church,Yes,"Germantown, Morton",Upper Northwest,"African American Historic Site, Historic Religious Sites",,1928,,Charles Parker,,,,,http://pagp.webfactional.com/static/media/photos/47-51EHainesSt.jpg,http://www.preservephiladelphia.org/historic-resources/192
193,40.04492985,-75.16978927,528 E Haines St,Philadelphia,PA,19144,Janes Methodist Church,True United Church,Yes,"Germantown, Morton",Upper Northwest,"Historic Religious Sites, African American Historic Site",,1898,circa,Rankin & Kellogg,,,,,http://pagp.webfactional.com/static/media/photos/528EHainesSt.jpg,http://www.preservephiladelphia.org/historic-resources/193
194,39.945146,-75.150039,05th St and Spruce St,Philadelphia,PA,19106,Jean Pierre Burr House,,,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/194
195,39.94885279,-75.15779793,1015 Walnut St,Philadelphia,PA,19107,Jefferson Medical College Curtis Building,,Yes,Washington Square West,Central,African American Historic Site,,1929,circa,"Horace Trumbauer, Julian Abele",,,,,,http://www.preservephiladelphia.org/historic-resources/195
196,39.98210546,-75.16180288,1853 N 17th St,Philadelphia,PA,19121,Jessie Redmon Fauset House,,,North Central,Lower North,African American Historic Site,,1885,circa,,,,,,,http://www.preservephiladelphia.org/historic-resources/196
197,39.99746533,-75.15336156,2917-19 N Broad St,Philadelphia,PA,19132,Joe Frazier's Gym,,Yes,Franklinville,North,African American Historic Site,,1895,circa,,2013,2013,,,http://pagp.webfactional.com/static/media/photos/Frazier-Playdon.jpg,http://www.preservephiladelphia.org/historic-resources/197
198,40.03591193,-75.17524998,5706 Germantown Ave,Philadelphia,PA,19144,John Trower Catering Company,,Yes,"Germantown, West Central",Upper Northwest,African American Historic Site,,1870,circa,,,,,,http://pagp.webfactional.com/static/media/photos/5706GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/198
199,39.98028252,-75.1884241,1511 N 33rd St,Philadelphia,PA,19121,John W. Coltrane House,,Yes,Strawberry Mansion,Lower North,African American Historic Site,,1895,,,1985,,1991,,http://pagp.webfactional.com/static/media/photos/Coltrane_web.jpg,http://www.preservephiladelphia.org/historic-resources/199
200,39.94354262,-75.1538088,420 S 07th St,Philadelphia,PA,19147,John W. Simpson House,,,Society Hill,Central,African American Historic Site,,1803,circa,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/200
201,39.94127584,-75.15513986,732 Bainbridge St,Philadelphia,PA,19147,John Wesley Methodist Church Site #1,,No,Bella Vista,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/201
202,39.96504397,-75.21304058,715 N 46th St,Philadelphia,PA,19104,John Wesley Methodist Church Site #2,,No,Mill Creek,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/202
203,39.965899,-75.207506,Aspen St near N 42nd St,Philadelphia,PA,19104,John Wesley Methodist Church Site #3,,No,Haverford North,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/203
204,40.04321454,-75.18124964,6306 Germantown Ave,Philadelphia,PA,19144,Johnson House,,Yes,"Germantown, West Central",Upper Northwest,African American Historic Site,,1768,,,1956,,1971,,http://pagp.webfactional.com/static/media/photos/6306GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/204
205,39.98631537,-75.16705304,2019 Diamond St,Philadelphia,PA,19121,Union Methodist Episcopal Church,Jones Tabernacle African Methodist Episcopal Church,Yes,Stanton,Lower North,"African American Historic Site, Historic Religious Sites",,1888,,Hazlehurst & Huckel,1980,1980,,Diamond Street,,http://www.preservephiladelphia.org/historic-resources/205
206,39.949875,-75.147368,S 04th St between Chestnut St and Market St,Philadelphia,PA,19106,Joseph & Amy Cassey House,,,Old City,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/206
207,40.036237,-75.177993,110 W Rittenhouse St,Philadelphia,PA,19144,Joseph E. Hill School,,No,"Germantown, West Central",Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/207
208,39.98408444,-75.16966039,2118 W Norris St,Philadelphia,PA,19121,Douglass-Singerly School,Joseph Singerly School,Yes,North Central,Lower North,African American Historic Site,,1891,,,,,,,,http://www.preservephiladelphia.org/historic-resources/208
209,40.02720682,-75.22060847,4321 Tower St,Philadelphia,PA,19127,Manayunk African Methodist Episcopal Church,Josie D. Heard African Methodist Episcopal Church,Yes,Manayunk,Lower Northwest,"Historic Religious Sites, African American Historic Site",,1910,post,,,,,,,http://www.preservephiladelphia.org/historic-resources/209
210,39.94056101,-75.16868651,1515 Christian St,Philadelphia,PA,19146,Julian F. Abele House,,Yes,Graduate Hospital,Central,African American Historic Site,,,,,1984,,,,,http://www.preservephiladelphia.org/historic-resources/210
211,39.98849976,-75.15613537,2322 N Broad St,Philadelphia,PA,19132,"Kappa Alpha Psi Fraternity, Inc. Headquarters",,Yes,Stanton,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/211
212,39.9664918,-75.2098414,756 N 43rd St,Philadelphia,PA,19104,Laura Wheeler Waring House,,,Haverford North,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/212
213,39.924247,-75.176362,1800 W Passyunk Ave,Philadelphia,PA,19145,Lebanon Cemetery,,No,West Passyunk,South,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/213
214,39.945314,-75.141771,211 S Columbus Blv,Philadelphia,PA,19106,Liberation of Jane Johnson,,,Riverfront,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/214
215,39.94937507,-75.15035212,Independence Mall,Philadelphia,PA,19106,Liberty Bell,,Yes,Old City,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/215
216,39.943454,-75.154145,715-17 Lombard St,Philadelphia,PA,19147,Liberty Hall,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/216
217,39.943407,-75.170889,1706 Bainbridge St,Philadelphia,PA,19146,Lincoln Day Nursery,,,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/217
218,39.968867,-75.163357,16th St and Parrish St,Philadelphia,PA,19130,Little Hope Church,,,Francisville,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/218
219,39.95909765,-75.20673812,4201 Powelton Ave,Philadelphia,PA,19104,West Philadelphia Indulged Meeting,Lombard Central Presbyterian Church Building #2,Yes,West Powelton,University/Southwest,"Historic Religious Sites, African American Historic Site",,1873,,,1973,,,,,http://www.preservephiladelphia.org/historic-resources/219
220,39.943025,-75.152116,06th St and Lombard St,Philadelphia,PA,19147,Lombard Street Riot,,Yes,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/220
221,39.94968,-75.142135,Front St and Market St,Philadelphia,PA,19106,London Coffee House,,No,Riverfront,Central,African American Historic Site,,1702,,Charles Reed,,,,,,http://www.preservephiladelphia.org/historic-resources/221
222,40.033649,-75.171464,5425 Germantown Ave,Philadelphia,PA,19144,Louisa May Alcott House,,No,Wister,Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/222
223,39.921693,-75.237203,Paschall Ave,Philadelphia,PA,19142,Macedonia Baptist Church,,,Paschall,Lower Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/223
224,40.02795651,-75.17386216,222 W Penn St,Philadelphia,PA,19144,Mae V. Cowdery Family House,,Yes,"Germantown, Westside",Upper Northwest,African American Historic Site,,,,,,,,,http://pagp.webfactional.com/static/media/photos/222WPennSt.jpg,http://www.preservephiladelphia.org/historic-resources/224
225,39.9423695,-75.17494959,762 S Martin St,Philadelphia,PA,19146,Marian Anderson House,,Yes,Graduate Hospital,Central,African American Historic Site,,1870,,,2004,2004,,,,http://www.preservephiladelphia.org/historic-resources/225
226,39.94202022,-75.17164504,740 S 17th St,Philadelphia,PA,19146,McCoach Playground,Marian Anderson Recreation Center,Yes,Graduate Hospital,Central,"African American Historic Site, Mid-Century Modern Architectural Resources",,1951,circa,Israel Demchick,,,,,http://pagp.webfactional.com/static/media/photos/740S17thSt.jpg,http://www.preservephiladelphia.org/historic-resources/226
227,39.94671672,-75.15090847,223-25 S 06th St,Philadelphia,PA,19106,Mayor Richardson Dilworth House,,Yes,Society Hill,Central,"African American Historic Site, Mid-Century Modern Architectural Resources",,1957,,G. Edwin Brumbaugh,,,,Society Hill,http://pagp.webfactional.com/static/media/photos/Dilworth_web.jpg,http://www.preservephiladelphia.org/historic-resources/227
228,39.942535,-75.170802,17th St and Fitzwater St,Philadelphia,PA,19146,Mercy Hospital - Site #1,,No,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/228
229,39.939971,-75.213867,50th St and Woodland Ave,Philadelphia,PA,19143,Mercy Hospital - Site #2,,No,Southwest Schuylkill,University/Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/229
230,39.94704579,-75.16120858,254 S 12th St,Philadelphia,PA,19107,Meta V. Warrick Fuller House,,Yes,Washington Square West,Central,African American Historic Site,,1840,circa,,,,,,,http://www.preservephiladelphia.org/historic-resources/230
