Resource ID,Latitude,Longitude,Street,City,State,Zip Code,Historic Name,Current Name,Extant,Neighborhood,Planning District,Inventory,Construction Start Year,Construction End Year,Construction Date Precision,Original Architect,Philadelphia Register Individual Designation Year,National Register Individual Designation Year,National Historic Landmark Individual Designation Year,Philadelphia Register Historic District,Photo URL,Resource URL
11,39.95399948,-75.24065906,5901 Larchwood Ave,Philadelphia,PA,19143,Fourth Reformed Presbyterian Church,Allen African Methodist Episcopal Church,Yes,Cobbs Creek,West,"Historic Religious Sites, African American Historic Site",,1917,,George D. Savage,,,,,,http://www.preservephiladelphia.org/historic-resources/11
12,39.94594046,-75.17413742,1923-27 Lombard St,Philadelphia,PA,19146,Phillips Brooks Chapel,Allen Chapel,Yes,Rittenhouse,Central,"African American Historic Site, Historic Religious Sites",,1873,circa,Thomas Early,,,,Rittenhouse-Fitler,http://pagp.webfactional.com/static/media/photos/1923-27LombardSt.jpg,http://www.preservephiladelphia.org/historic-resources/12
13,39.95840536,-75.17170787,19th St and Benj Franklin Pky,Philadelphia,PA,19103,All-Wars Memorial to Black Soldiers,,Yes,Logan Square,Central,African American Historic Site,,1934,,J. Otto Schweizer,,,,,,http://www.preservephiladelphia.org/historic-resources/13
14,39.97394139,-75.16311348,1625 W Thompson St,Philadelphia,PA,19121,Antioch Baptist Church,,,North Central,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/14
15,39.95179312,-75.14635796,302-38 Arch St,Philadelphia,PA,19106,Arch Street Friends Meeting House,,Yes,Old City,Central,"Historic Religious Sites, African American Historic Site",,1804,,Owen Biddle (Master Builder),1956,1971,1971,Old City,,http://www.preservephiladelphia.org/historic-resources/15
16,39.94475191,-75.16741332,1508 Lombard St,Philadelphia,PA,19146,Armstrong Association of Philadelphia,,,Rittenhouse,Central,African American Historic Site,,1860,circa,,,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/16
17,39.940672,-75.211626,1416 S Hanson St,Philadelphia,PA,19143,Arnett A.M.E. Church Site,,No,Southwest Schuylkill,University/Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/17
18,39.953812,-75.189768,33rd St and Chestnut St,Philadelphia,PA,19104,Asbury Methodist Episcopal Church,,No,University City,University/Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/18
19,39.977352,-75.170272,2104 W Jefferson St,Philadelphia,PA,19121,Aspiranto Health Home,,No,Sharswood,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/19
20,39.951012,-75.165694,15th St and Chestnut St,Philadelphia,PA,19102,Association Hall,,,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/20
21,39.943456,-75.152033,06th St and Addison St,Philadelphia,PA,19147,Augustine Society Seminary,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/21
22,39.97553617,-75.14692004,1535 N 07th St,Philadelphia,PA,19122,Trinity Reformed Church,B.M. Oakley Memorial Temple,Yes,Ludlow,Lower North,"African American Historic Site, Historic Religious Sites",,1869,,Samuel Sloan,,,,,http://pagp.webfactional.com/static/media/photos/DSC_9947.jpg,http://www.preservephiladelphia.org/historic-resources/22
23,39.94333642,-75.16825796,1523-29 Bainbridge St,Philadelphia,PA,19146,Hotel Brotherhood USA,Bainbridge Club,Yes,Graduate Hospital,Central,African American Historic Site,,1919,circa,A. Borzner,,,,,,http://www.preservephiladelphia.org/historic-resources/23
24,39.94207688,-75.16141945,1122-28 Bainbridge St,Philadelphia,PA,19147,Associated Presbyterian Church Site,Bainbridge Street Methodist Church,No,Hawthorne,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/24
25,39.993928,-75.154474,N Broad St and W Lehigh Ave,Philadelphia,PA,19132,Baker Bowl,,No,Hartranft,Lower North,African American Historic Site,,1887,,,,,,,,http://www.preservephiladelphia.org/historic-resources/25
26,39.92050239,-75.24257326,7013 Woodland Ave,Philadelphia,PA,19142,Banneker School,,No,Paschall,Lower Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/26
27,39.95792,-75.201913,40th St and Filbert St,Philadelphia,PA,19104,Barnes Argyrol Factory,,,West Powelton,University/Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/27
28,39.942992,-75.152255,600 Block Lombard St,Philadelphia,PA,19147,Beneficial Hall,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/28
